painter,artist,bucket,painting_title,filename,source_page_url,download_url,commons_file_title,width,height,bytes
goya,Francisco Goya,well_known,The Third of May 1808,goya/well_known/the_third_of_may_1808.jpg,https://commons.wikimedia.org/wiki/File:Francisco_de_Goya_-_Fusillade_du_3_mai_1808.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f9/Francisco_de_Goya_-_Fusillade_du_3_mai_1808.jpg,File:Francisco de Goya - Fusillade du 3 mai 1808.jpg,3051,2328,4305163
goya,Francisco Goya,well_known,Saturn Devouring His Son,goya/well_known/saturn_devouring_his_son.jpg,https://commons.wikimedia.org/wiki/File:Francisco_de_Goya_y_Lucientes_-_Saturn_Devouring_One_of_his_Children_-_WGA10109.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5b/Francisco_de_Goya_y_Lucientes_-_Saturn_Devouring_One_of_his_Children_-_WGA10109.jpg,File:Francisco de Goya y Lucientes - Saturn Devouring One of his Children - WGA10109.jpg,700,1287,77509
goya,Francisco Goya,well_known,The Nude Maja,goya/well_known/the_nude_maja.png,https://commons.wikimedia.org/wiki/File:Francisco_de_Goya_y_Lucientes_-_The_Nude_Maja_(La_Maja_Desnuda)_-_WGA10044.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a0/Francisco_de_Goya_y_Lucientes_-_The_Nude_Maja_%28La_Maja_Desnuda%29_-_WGA10044.jpg,File:Francisco de Goya y Lucientes - The Nude Maja (La Maja Desnuda) - WGA10044.jpg,1536,1024,2431680
goya,Francisco Goya,well_known,The Clothed Maja,goya/well_known/the_clothed_maja.jpg,https://commons.wikimedia.org/wiki/File:Francisco_de_Goya_y_Lucientes_-_The_Clothed_Maja_(La_Maja_Vestida)_-_WGA10045.jpg,https://upload.wikimedia.org/wikipedia/commons/5/54/Francisco_de_Goya_y_Lucientes_-_The_Clothed_Maja_%28La_Maja_Vestida%29_-_WGA10045.jpg,File:Francisco de Goya y Lucientes - The Clothed Maja (La Maja Vestida) - WGA10045.jpg,1600,800,118002
goya,Francisco Goya,well_known,The Sleep of Reason Produces Monsters,goya/well_known/the_sleep_of_reason_produces_monsters.jpg,"https://commons.wikimedia.org/wiki/File:Francisco_Jos%C3%A9_de_Goya_y_Lucientes_-_The_sleep_of_reason_produces_monsters_(No._43),_from_Los_Caprichos_-_Google_Art_Project.jpg",https://upload.wikimedia.org/wikipedia/commons/b/bc/Francisco_Jos%C3%A9_de_Goya_y_Lucientes_-_The_sleep_of_reason_produces_monsters_%28No._43%29%2C_from_Los_Caprichos_-_Google_Art_Project.jpg,"File:Francisco José de Goya y Lucientes - The sleep of reason produces monsters (No. 43), from Los Caprichos - Google Art Project.jpg",2645,4000,8531648
goya,Francisco Goya,less_known,The Straw Manikin,goya/less_known/the_straw_manikin.jpg,https://commons.wikimedia.org/wiki/File:Francisco_de_Goya_y_Lucientes_-_The_Straw_Manikin_-_WGA10009.jpg,https://upload.wikimedia.org/wikipedia/commons/6/66/Francisco_de_Goya_y_Lucientes_-_The_Straw_Manikin_-_WGA10009.jpg,File:Francisco de Goya y Lucientes - The Straw Manikin - WGA10009.jpg,800,1393,127679
goya,Francisco Goya,less_known,The Parasol,goya/less_known/the_parasol.jpg,https://commons.wikimedia.org/wiki/File:Francisco_de_Goya_y_Lucientes_-_The_Parasol_-_WGA9984.jpg,https://upload.wikimedia.org/wikipedia/commons/9/90/Francisco_de_Goya_y_Lucientes_-_The_Parasol_-_WGA9984.jpg,File:Francisco de Goya y Lucientes - The Parasol - WGA9984.jpg,1202,830,144219
goya,Francisco Goya,less_known,The Milkmaid of Bordeaux,goya/less_known/the_milkmaid_of_bordeaux.jpg,https://commons.wikimedia.org/wiki/File:Goya_MilkMaid.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8e/Goya_MilkMaid.jpg,File:Goya MilkMaid.jpg,2319,2584,7274719
goya,Francisco Goya,less_known,Yard with Lunatics,goya/less_known/yard_with_lunatics.jpg,https://commons.wikimedia.org/wiki/File:Courtyard_with_Lunatics_by_Goya_1794.jpg,https://upload.wikimedia.org/wikipedia/commons/8/87/Courtyard_with_Lunatics_by_Goya_1794.jpg,File:Courtyard with Lunatics by Goya 1794.jpg,1498,2045,293657
goya,Francisco Goya,less_known,The Bewitched Man,goya/less_known/the_bewitched_man.jpg,https://commons.wikimedia.org/wiki/File:Francisco_de_Goya_y_Lucientes_-_The_Bewitched_Man_-_WGA10039.jpg,https://upload.wikimedia.org/wikipedia/commons/5/53/Francisco_de_Goya_y_Lucientes_-_The_Bewitched_Man_-_WGA10039.jpg,File:Francisco de Goya y Lucientes - The Bewitched Man - WGA10039.jpg,800,1130,124777
